Protocol,Flow Duration,Flow IAT Mean,Packet Length Mean,Fwd Avg Bytes/Bulk,Subflow Fwd Bytes,Init Fwd Win Bytes,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Class
6,107,107.0,0.0,0,0,318,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
6,57884,19294.666,6.0,0,6,256,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,20578,6859.3335,51.4,0,90,-1,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
6,113,28.25,4.0,0,0,119,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,3002707,1000902.3,516.0,0,2064,-1,0.0,0.0,0,0,0.0,0.0,0,0,TFTP,Attack
17,3056562,1018854.0,516.0,0,2064,-1,0.0,0.0,0,0,0.0,0.0,0,0,TFTP,Attack
17,20822,6940.6665,55.2,0,88,-1,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,951,9.804124,440.0,0,43120,-1,0.0,0.0,0,0,0.0,0.0,0,0,DrDoS_NTP,Attack
17,20832,6944.0,49.4,0,86,-1,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,9311,344.85184,415.17242,0,11600,-1,0.0,0.0,0,0,0.0,0.0,0,0,DrDoS_NTP,Attack
17,4314,34.512,440.0,0,55440,-1,0.0,0.0,0,0,0.0,0.0,0,0,DrDoS_NTP,Attack
6,158,79.0,0.0,0,0,1026,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,20547,6849.0,50.2,0,62,-1,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,20918,6972.6665,85.4,0,94,-1,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
6,55588,55588.0,0.0,0,0,256,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
17,5856,39.836735,440.0,0,65120,-1,0.0,0.0,0,0,0.0,0.0,0,0,DrDoS_NTP,Attack
